,Time,Vertical Disp
0,0,0
1,0.002522155,-1.55E-07
2,0.005024974,-6.99E-07
3,0.007527787,-1.44E-06
4,0.0100306,-2.09E-06
5,0.012533413,-2.83E-06
6,0.015036226,-3.70E-06
7,0.017539039,-4.63E-06
8,0.020041852,-5.44E-06
9,0.022544665,-5.58E-06
10,0.025047478,-4.68E-06
11,0.027550291,-2.66E-06
12,0.030053104,-6.17E-08
13,0.032555917,2.51E-06
14,0.03505873,4.88E-06
15,0.037561543,7.11E-06
16,0.040064356,9.31E-06
17,0.042567154,1.16E-05
18,0.045245923,1.40E-05
19,0.047924692,1.58E-05
20,0.050447308,1.68E-05
21,0.052969923,1.65E-05
22,0.055492692,1.46E-05
23,0.058015461,1.08E-05
24,0.060538082,4.80E-06
25,0.063060697,-3.29E-06
26,0.065582543,-1.32E-05
27,0.06810439,-2.50E-05
28,0.070626313,-3.85E-05
29,0.073148236,-5.35E-05
30,0.075670659,-6.99E-05
31,0.078193082,-8.75E-05
32,0.08071489,-0.000106241
33,0.083236697,-0.00012584
34,0.08575789,-0.000146113
35,0.088279083,-0.000166752
36,0.090801351,-0.000187298
37,0.09332362,-0.000207385
38,0.09584639,-0.000226818
39,0.098369159,-0.000245605
40,0.100891385,-0.000263825
41,0.103413616,-0.000281466
42,0.1059355,-0.000298548
43,0.108457385,-0.000315015
44,0.110979654,-0.000330821
45,0.113501923,-0.000345961
46,0.116024154,-0.000360449
47,0.118546385,-0.000374385
48,0.121068765,-0.000387977
49,0.12359115,-0.000401277
50,0.126112957,-0.000414197
51,0.128634764,-0.000426699
52,0.131157025,-0.000438463
53,0.133679294,-0.000449294
54,0.136201294,-0.000459298
55,0.138723295,-0.000468626
56,0.141245144,-0.000477345
57,0.143766991,-0.000485566
58,0.146288952,-0.000493318
59,0.148810913,-0.000500381
60,0.151332826,-0.000506584
61,0.153854749,-0.000511665
62,0.156377172,-0.000515325
63,0.158899595,-0.000517357
64,0.161422019,-0.000517893
65,0.163944442,-0.000517168
66,0.166466981,-0.000515391
67,0.16898952,-0.000512638
68,0.171511385,-0.000508779
69,0.174033232,-0.000503753
70,0.176555116,-0.000497793
71,0.179077001,-0.000490716
72,0.181599231,-0.000481927
73,0.184121462,-0.000471026
74,0.186643424,-0.000457997
75,0.189165385,-0.000443288
76,0.191688038,-0.000427506
77,0.194210691,-0.000411052
78,0.196732884,-0.000393901
79,0.199255077,-0.000375887
80,0.201777615,-0.000356884
81,0.204300154,-0.000336882
82,0.206822192,-0.000316005
83,0.209344231,-0.000294557
84,0.211866346,-0.000272937
85,0.214388461,-0.000251445
86,0.216910577,-0.000230271
87,0.219432692,-0.000209449
88,0.221954769,-0.000188762
89,0.224476846,-0.000168151
90,0.22699923,-0.000147652
91,0.229521615,-0.000127181
92,0.23204312,-0.000106924
93,0.234564621,-8.72E-05
94,0.237086735,-6.79E-05
95,0.23960885,-4.93E-05
96,0.242129932,-3.11E-05
97,0.244651009,-1.35E-05
98,0.247172971,3.82E-06
99,0.249694932,2.09E-05
100,0.252216735,3.82E-05
101,0.254738544,5.58E-05
102,0.25726062,7.38E-05
103,0.259782697,9.20E-05
104,0.262304548,0.000110117
105,0.264826395,0.000128095
106,0.26734851,0.00014591
107,0.269870625,0.000163499
108,0.272392587,0.000180839
109,0.274914548,0.000198027
110,0.27743674,0.000215036
111,0.279958933,0.000231599
112,0.282481548,0.000247433
113,0.285004163,0.000262136
114,0.287526048,0.000275418
115,0.290047933,0.000287234
116,0.29257063,0.00029759
117,0.295093323,0.000306539
118,0.297615438,0.000314237
119,0.300137553,0.000320881
120,0.302659976,0.000326611
121,0.305182399,0.000331541
122,0.307704592,0.000335752
123,0.310226785,0.000339366
124,0.312748293,0.000342196
125,0.315269794,0.000344154
126,0.317791601,0.000345748
127,0.320313408,0.000347434
128,0.322835447,0.000349471
129,0.325357486,0.000352002
130,0.327879639,0.000354966
131,0.330401794,0.00035829
132,0.332923755,0.000361758
133,0.335445716,0.000364987
134,0.337967485,0.000368165
135,0.340489254,0.0003718
136,0.343010798,0.000376163
137,0.345532337,0.000381443
138,0.348053529,0.000387663
139,0.350574722,0.000394839
140,0.353096952,0.000403005
141,0.355619183,0.000412045
142,0.35814099,0.000421683
143,0.360662799,0.000431652
144,0.363183909,0.000441832
145,0.365705024,0.000452277
146,0.368226524,0.000462953
147,0.370748025,0.000473869
148,0.373269482,0.000485131
149,0.375790943,0.000496606
150,0.378312866,0.000508146
151,0.380834789,0.000519618
152,0.383356779,0.000530941
153,0.38587878,0.000542136
154,0.388401356,0.000553226
155,0.390923933,0.000564268
156,0.393445967,0.000575141
157,0.395968006,0.000585756
158,0.398490159,0.000596279
159,0.401012312,0.000606965
160,0.403534077,0.000618026
161,0.406055846,0.000629147
162,0.408577846,0.000639804
163,0.411099847,0.000649881
164,0.413622313,0.000660039
165,0.416144774,0.000670996
166,0.41866662,0.000682454
167,0.421188467,0.000693837
168,0.423710428,0.000704787
169,0.426232389,0.000715096
170,0.428754043,0.000724752
171,0.431275698,0.000733691
172,0.43379762,0.000742149
173,0.436319543,0.000750404
174,0.43884162,0.000758498
175,0.441363697,0.000766662
176,0.443885395,0.000775002
177,0.446407088,0.00078341
178,0.448929087,0.000791954
179,0.451451088,0.000800456
180,0.453973279,0.000808457
181,0.456495472,0.000815767
182,0.459018087,0.00082139
183,0.461540702,0.000823999
184,0.46406312,0.000823903
185,0.466585543,0.000822763
186,0.469107582,0.000822167
187,0.471629621,0.000823387
188,0.474152043,0.000827025
189,0.476674466,0.000832923
190,0.479197043,0.000840613
191,0.48171962,0.000849272
192,0.484241928,0.000858171
193,0.486764237,0.000867107
194,0.489287159,0.000876447
195,0.491810082,0.000886501
196,0.494332467,0.000897311
197,0.496854852,0.000908797
198,0.49937689,0.00092028
199,0.501898929,0.000930923
200,0.504420803,0.000940411
201,0.506942688,0.000948639
202,0.509464457,0.000955854
203,0.511986226,0.000962551
204,0.514508913,0.000968919
205,0.517031606,0.000975057
206,0.519554028,0.000980738
207,0.522076451,0.00098564
208,0.524598951,0.000989845
209,0.527121452,0.000993524
210,0.529643259,0.000996697
211,0.532165068,0.000999286
212,0.534686913,0.001001338
213,0.53720876,0.001002858
214,0.539731144,0.001003957
215,0.542253529,0.001004631
216,0.544775687,0.001004794
217,0.547297842,0.001004314
218,0.549820418,0.00100317
219,0.552342995,0.001001369
220,0.554865116,0.000998578
221,0.557387231,0.000994468
222,0.559909885,0.000988523
223,0.562432538,0.000980163
224,0.564955043,0.000969675
225,0.567477544,0.000958237
226,0.56999912,0.000947324
227,0.572520697,0.00093781
228,0.575042808,0.000929897
229,0.577564923,0.000923246
230,0.580086962,0.000917122
231,0.582609001,0.000911082
232,0.585131274,0.000904998
233,0.587653543,0.000898836
234,0.590176889,0.000892359
235,0.592700236,0.000885201
236,0.595222317,0.000876908
237,0.597744394,0.000867261
238,0.600266625,0.000856184
239,0.602788856,0.000843844
240,0.605311125,0.000830285
241,0.607833394,0.000815121
242,0.610354971,0.000798331
243,0.612876548,0.000780037
244,0.615399284,0.000760273
245,0.617922015,0.000738971
246,0.62044436,0.000716542
247,0.622966707,0.000693891
248,0.625488981,0.000671677
249,0.62801125,0.000650289
250,0.630533712,0.000629725
251,0.633056173,0.000609927
252,0.635578058,0.000591026
253,0.638099943,0.000572944
254,0.640621827,0.000555634
255,0.643143712,0.000538524
256,0.645666212,0.00052048
257,0.648188713,0.000501238
258,0.650710635,0.000481942
259,0.653232558,0.00046348
260,0.65575475,0.00044575
261,0.658276943,0.000428359
262,0.660799789,0.000410966
263,0.663322636,0.000393689
264,0.665845294,0.000376969
265,0.668367947,0.000361365
266,0.670890486,0.000347367
267,0.673413025,0.0003353
268,0.675935942,0.000325038
269,0.678458865,0.000316145
270,0.680981442,0.00030806
271,0.683504019,0.000300282
272,0.686026981,0.000292717
273,0.688549942,0.000285324
274,0.691072596,0.000277659
275,0.693595251,0.000269538
276,0.696117408,0.000260986
277,0.698639563,0.000251811
278,0.701161678,0.000241895
279,0.703683793,0.000231122
280,0.706206563,0.000219363
281,0.708729332,0.000206696
282,0.71125214,0.00019335
283,0.713774947,0.000179477
284,0.716297591,0.000165002
285,0.718820246,0.000149937
286,0.721342899,0.000134549
287,0.723865554,0.00011907
288,0.726388534,0.000103351
289,0.728911535,8.69E-05
290,0.731434342,6.95E-05
291,0.733957149,5.14E-05
292,0.736479914,3.27E-05
293,0.739002683,1.38E-05
294,0.74152576,-5.07E-06
295,0.744048837,-2.39E-05
296,0.74657179,-4.25E-05
297,0.749094751,-6.07E-05
298,0.751617405,-7.84E-05
299,0.754140058,-9.59E-05
300,0.7566629,-0.00011323
301,0.759185747,-0.000130638
302,0.761708438,-0.000148175
303,0.764231131,-0.000165537
304,0.766753977,-0.000182267
305,0.769276824,-0.000198255
306,0.771799708,-0.000213389
307,0.774322593,-0.000227543
308,0.776845473,-0.000240983
309,0.779368358,-0.000254395
310,0.781891627,-0.000268889
311,0.784414896,-0.000285079
312,0.786938232,-0.000302411
313,0.789461579,-0.000319895
314,0.791984232,-0.000336568
315,0.794506887,-0.000351777
316,0.79702954,-0.00036545
317,0.799552193,-0.000377776
318,0.802074386,-0.000388807
319,0.804596579,-0.000398633
320,0.807118689,-0.000407342
321,0.809640804,-0.000414939
322,0.812162881,-0.000421456
323,0.814684958,-0.000427056
324,0.817207304,-0.000431784
325,0.819729651,-0.000435696
326,0.822252112,-0.000439225
327,0.824774573,-0.00044257
328,0.827297117,-0.000445716
329,0.829819656,-0.000448631
330,0.832341732,-0.000451234
331,0.834863809,-0.000453573
332,0.837386439,-0.000455901
333,0.839909054,-0.000458529
334,0.842431862,-0.000461413
335,0.844954669,-0.00046428
336,0.847476405,-0.000467163
337,0.849998136,-0.000470125
338,0.852520251,-0.000472921
339,0.855042366,-0.000475365
340,0.857564861,-0.000477273
341,0.860087362,-0.0004784
342,0.862610515,-0.000478585
343,0.86513367,-0.00047795
344,0.867655559,-0.000476698
345,0.870177444,-0.000474712
346,0.872699713,-0.000471896
347,0.875221982,-0.000468356
348,0.877744298,-0.000464177
349,0.880266605,-0.000459498
350,0.882788682,-0.000454564
351,0.885310759,-0.000449233
352,0.887834395,-0.000443424
353,0.89035801,-0.000437772
354,0.892880356,-0.000432638
355,0.895402703,-0.000428031
356,0.897925552,-0.000423959
357,0.900448399,-0.000420366
358,0.902971168,-0.000417161
359,0.905493937,-0.000414281
360,0.908016063,-0.000411835
361,0.910538178,-0.000409889
362,0.913060832,-0.000408593
363,0.915583485,-0.0004083
364,0.91810587,-0.000409158
365,0.920628255,-0.000410897
366,0.923150294,-0.00041292
367,0.925672333,-0.000414665
368,0.928194361,-0.000415837
369,0.9307164,-0.000416506
370,0.933238745,-0.00041672
371,0.935761092,-0.000416392
372,0.938283168,-0.000415502
373,0.940805245,-0.000414077
374,0.943327707,-0.000412199
375,0.945850168,-0.000409834
376,0.948372947,-0.000406891
377,0.950895716,-0.00040333
378,0.953418293,-0.000399353
379,0.95594087,-0.000395485
380,0.958463338,-0.00039238
381,0.960985799,-0.000390419
382,0.963508146,-0.000389506
383,0.966030493,-0.000389267
384,0.968552684,-0.000389503
385,0.971074877,-0.00039014
386,0.97359703,-0.000391166
387,0.976119185,-0.000392786
388,0.978641569,-0.000395335
389,0.981163954,-0.000398793
390,0.983686492,-0.000402848
391,0.986209031,-0.000407225
392,0.988732025,-0.00041148
393,0.991255026,-0.000415686
394,0.993776987,-0.000419844
395,0.996298948,-0.00042363
396,0.998820794,-0.00042695
397,1.001342641,-0.000429611
